Case #1: Impossible
7 11 194375
29 34 194927
41 26 195792
40 24 195919
15 23 196135
44 3 196174
41 3 196472
32 13 196477
5 21 196904
24 35 196988
19 16 197366
47 23 200053
20 17 200254
39 46 200852
35 38 201235
41 48 201518
29 36 202083
26 14 202633
26 45 203115
46 28 203635
32 21 204012
25 13 204737
3 10 205156
31 3 205246
4 14 205253
8 18 205325
40 43 206638
22 33 206853
19 35 207342
37 41 207574
31 5 208364
20 37 208656
45 20 209018
14 29 210832
21 41 210881
28 44 212137
44 13 213887
23 4 214148
11 17 214980
23 14 215334
1 31 215561
36 7 216246
40 19 216401
37 19 216742
5 34 217159
24 10 217403
20 3 218946
19 41 219073
20 25 219763
11 31 220071
2 44 220249
10 38 221650
23 40 222488
7 18 223250
35 31 223603
11 45 223744
32 34 224267
13 37 225796
44 30 226613
36 44 227772
44 6 229662
20 48 230132
24 26 231430
11 35 231982
37 10 232913
23 28 233263
39 47 234198
26 38 235677
14 10 235724
47 40 237086
46 47 237165
41 16 237634
7 43 238163
25 14 239476
46 21 239905
24 21 240497
43 4 243211
46 10 247473
36 20 248579
24 43 249293
30 47 251457
24 36 251693
17 23 254495
16 13 255856
21 37 256007
44 48 257539
31 26 258045
47 17 258213
13 19 258294
37 47 263618
20 31 263948
23 11 264707
1 18 264784
5 43 265457
14 1 265524
47 20 268372
1 44 268516
19 46 272300
34 11 274476
34 19 277128
46 37 277456
19 43 277967
44 47 278197
43 22 279605
18 38 285181
10 23 285839
21 16 286067
5 47 286163
1 23 289642
23 46 292045
16 33 292343
47 16 293227
1 43 306971
31 23 318189
44 34 328431
26 47 335844
21 23 341193
23 44 371144
Case #3: Impossible
Case #4: 176
33 9 282
33 4 30500
32 15 38177
1 33 45230
11 35 54903
35 28 62514
8 31 69208
32 34 74350
9 37 74668
1 8 84267
32 6 88915
29 5 90907
24 35 93012
32 18 94485
6 1 99164
17 3 102933
9 32 103812
14 8 106263
15 36 107616
33 31 108245
30 4 108886
21 1 115130
35 22 115465
18 31 115487
19 14 126473
6 15 127092
29 8 130604
29 23 133028
30 9 139104
15 33 141624
33 6 144394
6 9 144676
14 9 145018
31 22 146053
10 37 147459
32 1 149324
28 2 149764
22 30 154401
18 30 156381
32 5 157101
9 19 157811
19 33 158093
9 21 160642
15 23 161045
33 29 169641
2 31 170517
13 4 171534
4 15 171560
7 8 171948
11 31 172797
6 4 174894
30 8 177859
28 22 177979
23 31 181291
36 1 183153
6 18 183400
25 27 184008
11 18 187511
10 2 193650
34 26 201264
12 26 202731
1 19 203323
27 29 204355
3 38 204662
34 10 206156
30 31 209424
38 29 209943
3 31 210463
35 38 210513
7 9 210703
28 32 211608
15 30 212689
2 26 213770
29 37 214254
31 7 217979
7 18 218227
27 16 220056
24 14 222316
23 24 222322
3 15 222379
19 39 222885
1 13 224471
30 36 226987
35 31 227700
30 38 228816
30 19 229158
21 3 230443
27 15 232372
38 14 234730
36 13 235386
22 21 236375
20 13 236541
26 24 237768
18 35 242414
36 7 242434
5 13 245042
22 29 245092
3 39 245115
17 14 245929
25 26 248526
38 21 249790
30 23 250001
14 28 252814
25 23 255335
32 25 256026
34 3 258552
25 20 260394
23 2 261066
35 32 261192
26 9 261629
14 35 261896
19 24 266377
2 11 267181
38 27 268496
26 6 268842
32 27 270549
20 18 270672
38 5 273289
29 28 277802
28 36 281047
3 13 281459
6 30 283780
39 24 283926
23 11 286628
7 13 288975
21 20 299407
24 7 302081
27 6 302889
10 20 307993
37 20 310522
20 22 311587
39 30 311605
5 7 314529
35 19 315191
5 28 315699
25 39 316939
16 34 317301
25 2 317870
30 27 321328
37 23 321688
11 26 326463
20 3 332218
12 1 341922
26 19 341930
16 37 344659
16 22 345724
20 23 346756
17 39 348048
17 11 351114
26 38 351341
38 20 352860
16 11 352887
37 3 355451
22 3 356516
12 36 356541
38 16 359139
25 9 359838
29 12 362040
1 27 363295
14 12 363918
28 25 365501
24 21 367291
22 12 372143
20 30 374958
12 19 376711
5 26 378842
4 25 382825
11 3 383260
17 13 384392
16 35 407790
12 6 411627
30 12 435514
30 25 450684
12 3 456087
12 28 470997
17 12 512890
Case #5: 66
11 26 42424
8 23 44957
29 2 49353
29 33 60774
34 7 110252
27 19 139703
35 36 157892
36 5 194237
37 40 196088
1 30 196552
4 26 200217
25 10 213158
28 29 240103
11 1 292496
41 37 306939
24 10 313153
11 29 330680
2 26 337609
30 41 353800
8 40 370665
28 32 404271
2 27 409069
28 36 432560
29 24 435171
41 25 451408
30 24 461590
23 38 465854
4 29 470191
28 15 486815
34 9 501583
8 34 522997
36 41 529339
36 3 539079
17 32 540657
40 19 542096
23 12 542894
38 9 547725
9 41 550731
31 30 551113
37 30 557579
8 19 557902
14 19 561167
35 27 566579
19 4 578554
19 25 582327
38 1 591320
10 31 592887
17 25 600137
38 18 627352
39 13 630209
27 34 635170
32 31 684064
10 18 685962
17 22 693638
10 14 699277
30 6 711454
33 18 715334
15 29 726918
16 11 775283
6 15 800750
16 36 839750
3 16 921910
31 16 925047
16 10 946466
27 21 981066
13 16 998945
Case #6: 53
9 1 45870
7 12 80897
4 8 81476
1 3 92291
9 3 138161
4 5 144889
1 12 155452
1 11 165153
7 6 173380
12 9 201322
11 9 211023
8 2 212225
11 5 224431
7 1 236349
6 12 254277
10 1 256818
11 3 257444
2 3 259658
9 6 272196
2 5 275638
4 12 284613
7 8 285192
8 11 287844
1 6 288732
9 5 295253
5 10 316096
6 3 317438
11 12 320605
8 6 336776
5 1 341123
5 7 348605
3 10 349109
1 2 351949
8 3 356846
8 9 358666
11 4 369320
8 10 379509
9 2 397819
5 6 400189
11 7 401502
7 2 403716
8 1 404536
12 10 412270
3 5 420259
12 5 429502
9 4 440142
11 6 453885
4 10 460985
10 7 493167
2 11 500069
10 6 545550
2 6 549001
2 10 591734
Case #7: 117
1 16 3217
1 5 7113
5 16 10330
11 16 24009
5 11 27905
2 18 35740
5 15 37335
1 15 44448
16 15 47665
19 5 53923
14 1 56768
20 7 62845
15 11 65240
1 10 76320
14 11 77560
16 10 79537
15 20 101775
14 12 102110
2 1 103154
14 19 103578
5 2 110267
23 18 112826
8 14 112882
19 20 118363
10 19 123130
13 19 130400
1 7 134398
11 17 142621
22 19 144912
18 5 146007
23 2 148566
12 5 151765
7 11 155190
23 3 156876
8 5 162537
19 2 164190
7 15 164620
3 5 167848
1 8 169650
15 23 169736
2 20 174707
12 11 179670
12 7 179740
7 19 181208
18 15 183342
13 5 184323
13 11 184627
19 3 185886
4 10 186871
4 16 188994
12 15 189100
3 11 195753
22 5 198835
8 15 199872
18 19 199930
22 1 205948
5 23 207071
22 16 209165
19 21 210187
17 4 210353
11 22 212378
9 18 213031
23 1 214184
8 19 216460
23 16 217401
3 14 217503
7 18 217554
9 15 224623
2 6 227348
15 4 230225
3 10 237055
17 10 239307
21 14 241804
19 4 246813
13 6 250048
13 4 252359
13 10 253530
23 14 256726
8 13 258429
21 10 261356
21 17 261906
5 9 261958
19 6 264051
8 17 264790
6 7 264955
17 7 267815
22 10 268042
4 12 269429
18 3 269702
9 16 272288
6 11 273918
22 13 275312
23 10 276278
19 9 279996
21 3 285327
20 6 287463
2 4 288931
13 2 294590
6 14 295668
18 17 302307
2 22 309102
13 7 309821
6 10 315220
17 22 317318
7 22 326120
13 18 330330
21 8 331696
17 3 338374
18 22 344842
22 12 350600
17 23 377597
8 6 385560
7 9 389243
4 22 391725
4 6 418395
8 9 424495
9 6 433301
Case #8: 24
10 7 31556
4 5 85268
2 7 119780
2 14 157878
12 3 190996
7 5 205197
10 6 206430
3 13 210115
11 7 240268
5 1 248453
10 4 261375
10 11 271824
11 1 283524
2 6 294654
12 2 305694
7 9 314595
13 2 324813
12 6 360788
4 12 376813
4 13 395932
7 8 437808
8 11 438516
4 11 470087
5 8 643005
Case #9: 42
1 3 48366
4 16 52078
7 12 69179
4 6 77016
13 9 92313
9 7 94506
14 4 113598
16 6 129094
16 1 131460
11 12 137337
14 16 165676
7 13 186819
6 14 190614
4 2 196135
12 2 202509
16 15 222615
12 8 241335
2 13 248032
15 1 249919
6 7 255076
5 4 256600
14 8 270907
2 6 273151
7 8 310514
16 11 316012
3 11 318199
13 14 325701
8 17 327281
17 4 328449
4 13 329899
2 11 339846
5 12 340626
1 11 343316
7 16 344135
17 14 363828
12 3 367628
5 14 370198
12 15 409795
17 5 426572
5 15 427137
15 7 462594
13 15 500436
Case #10: 633
11 1 3223
14 21 4891
16 1 6034
35 15 7205
12 14 8999
1 19 9685
22 14 10627
20 37 10847
44 3 11794
25 39 12296
18 31 12620
19 11 12908
40 18 13314
22 18 13461
2 18 13523
9 40 13553
12 21 13890
20 28 14446
3 19 17075
42 14 18357
1 12 25080
36 16 25094
37 28 25293
40 31 25934
22 31 26081
2 40 26837
18 9 26867
16 14 28045
19 44 28869
21 18 28979
22 42 28984
36 32 29882
16 3 32794
29 37 32892
31 15 33007
12 18 33087
38 14 33151
2 15 33910
1 14 34079
27 1 34258
11 36 34351
12 19 34765
21 39 35377
26 16 36404
40 14 37402
11 27 37481
14 2 37611
21 38 38042
44 1 38554
12 39 39485
31 9 39487
10 19 40171
31 35 40212
16 27 40292
2 9 40390
40 5 40590
42 1 40813
22 39 41113
2 35 41115
9 33 41488
21 31 41599
44 11 41777
21 11 42193
21 40 42293
26 1 42438
18 42 42445
21 2 42502
31 17 42701
14 25 42782
27 19 43943
11 42 44036
12 36 44140
7 16 44352
44 16 44588
1 22 44706
2 1 45224
18 15 45627
31 12 45707
40 12 46401
29 25 46583
12 2 46610
31 7 46804
22 7 47645
21 25 47673
2 7 47707
1 35 48251
11 2 48447
21 19 48655
42 39 48843
27 40 50199
31 16 50355
1 7 50386
19 42 50498
9 14 50955
2 16 51258
11 35 51474
38 42 51508
25 12 51781
26 19 52123
35 18 52832
41 40 52911
11 33 52956
22 25 53409
11 7 53609
6 13 53633
18 5 53904
19 31 54006
27 31 54205
35 16 54285
19 22 54391
5 19 54499
39 18 54574
2 19 54909
16 32 54976
33 40 55041
42 31 55065
2 27 55108
26 12 55450
15 1 55456
16 33 55767
21 9 55846
16 10 55890
42 2 55968
44 29 56108
11 18 56291
5 35 56971
3 33 57123
38 18 57239
35 19 57936
16 39 58531
36 30 58882
22 15 59088
37 36 59692
42 36 59873
12 9 59954
19 7 60071
3 14 60839
1 32 61010
27 3 61018
42 25 61139
16 38 61196
7 30 61198
5 7 61460
15 16 61490
17 15 61926
19 34 62062
29 21 62748
19 18 62753
21 7 63163
28 36 63291
27 18 63513
44 12 63634
9 27 63752
36 22 63766
5 15 64176
35 40 64192
1 39 64565
15 19 65141
36 27 65386
21 3 65730
35 22 66293
41 19 66777
18 25 66870
39 31 67194
1 38 67230
5 22 67365
5 2 67427
11 39 67788
40 39 67888
3 29 67902
2 39 68097
40 17 68635
17 22 68782
44 33 68917
10 44 69040
35 17 69131
26 3 69198
22 20 69275
21 26 69340
36 7 69446
27 5 70087
38 11 70453
40 38 70553
19 32 70695
2 38 70762
36 29 70890
7 27 71069
3 31 71081
14 41 71275
34 1 71747
3 2 71984
35 25 72054
18 36 72128
9 15 72494
21 27 73228
31 29 73311
35 12 73331
40 32 73720
9 16 73901
2 29 74214
33 12 74813
12 10 74936
34 11 74970
3 35 75011
31 36 75449
7 33 75911
38 25 75933
41 21 76166
2 36 76352
1 41 76462
27 26 76696
15 33 76834
1 25 76861
38 19 76915
14 35 76920
22 27 76974
44 21 77524
9 35 77745
34 16 77781
35 24 77987
20 44 78153
37 38 78474
32 20 78727
3 8 78804
41 31 78845
35 36 79379
17 14 79409
25 37 79475
31 25 79490
40 10 79517
11 41 79685
2 41 79748
3 18 79828
14 20 79902
9 1 79935
25 11 80084
37 22 80122
25 40 80184
33 10 80219
12 41 80274
25 2 80393
10 36 80984
26 44 80992
39 9 81441
21 35 81811
2 33 81878
30 40 82068
28 38 82073
9 17 82188
24 3 82392
41 16 82496
9 3 82602
18 20 82736
21 5 82883
32 14 83021
25 28 83074
27 17 83124
9 11 83158
11 20 83196
44 5 83368
18 26 83438
36 39 83625
33 14 83812
41 3 83852
16 30 83976
38 9 84106
17 21 84300
16 37 84786
20 21 84793
19 29 84977
27 25 86047
38 36 86290
32 24 86492
19 25 86546
36 15 86584
26 31 86759
44 35 86805
18 32 87034
26 2 87662
32 3 87770
32 21 87912
42 15 88072
16 28 88385
17 12 88408
20 12 88901
7 44 88940
37 44 89000
37 32 89574
19 20 89658
29 38 89672
32 42 89755
11 17 90245
31 34 90344
42 33 90546
44 8 90598
42 10 90669
35 26 90689
44 34 90931
2 34 91247
3 39 91325
32 26 91380
7 38 91423
18 44 91622
39 37 91771
29 1 91936
33 26 92171
26 10 92294
28 44 92599
10 18 92831
16 17 93056
42 23 93104
3 40 93142
28 32 93173
30 11 93233
5 41 93501
37 18 93583
25 9 93737
38 3 93990
15 44 94010
7 13 94020
31 10 94177
24 44 94186
28 14 94348
9 44 94396
1 28 94419
22 10 94562
29 7 94875
26 39 94935
29 11 95159
32 27 95268
36 5 95312
31 20 95356
30 18 95382
9 30 95621
37 21 95640
44 41 95646
8 19 95879
36 25 95921
40 20 96050
2 20 96259
5 42 96349
12 34 96827
28 11 97642
16 43 97713
42 17 97766
15 26 97894
10 35 98107
24 1 98252
36 9 98995
28 21 99239
24 19 99467
32 44 99564
31 32 99654
30 19 99695
12 37 99748
10 7 100242
2 32 100557
3 37 100794
7 25 101054
38 27 101488
42 34 101541
41 39 101761
34 10 102233
44 25 102691
38 15 102866
34 36 102875
41 27 103110
39 44 103119
28 12 103347
25 3 103621
43 1 103747
24 16 104286
28 3 104393
44 40 104936
1 8 105564
38 44 105784
34 27 106005
31 37 106203
6 34 106204
15 29 106318
40 37 106897
43 11 106970
37 2 107106
25 26 107231
41 36 107590
30 31 108002
39 5 108478
8 11 108787
22 30 108843
37 42 109106
35 32 109261
31 28 109802
17 39 109895
35 38 110071
26 9 110305
26 20 110343
28 40 110496
36 13 110543
28 2 110705
33 32 110743
10 32 110866
14 23 111461
41 15 111852
14 30 112021
38 33 112148
42 28 112705
19 43 113432
39 32 113507
29 35 113523
41 25 114057
26 34 114185
24 40 114193
39 33 114298
32 5 114310
10 39 114421
13 40 114890
30 24 115492
23 6 115511
13 4 116093
38 32 116172
40 34 116278
23 21 116352
24 36 116374
32 15 116466
3 30 116770
30 21 116912
38 10 117086
24 31 118199
24 33 119630
34 35 119998
37 9 120450
37 26 121190
17 41 121546
23 22 122088
29 26 122306
30 5 122658
36 43 122807
34 15 123351
17 33 123676
28 9 124049
29 27 124204
28 26 124789
33 29 125025
27 37 125078
29 10 125148
43 14 125758
32 25 125803
33 25 126594
25 10 126717
29 41 126916
18 24 127507
7 37 127767
16 23 127883
18 13 128204
35 20 128224
15 20 128363
9 13 128443
28 27 128677
29 30 129670
20 10 129829
34 9 129831
3 43 130507
8 12 130644
43 21 130649
28 7 131366
14 24 132331
23 1 133917
26 43 134117
21 8 134336
30 41 134979
4 39 135142
18 23 135549
8 10 136050
39 34 136312
8 36 136692
19 4 136844
17 10 136878
27 43 138005
20 17 138057
34 38 138977
24 42 139065
37 35 139071
37 15 139210
8 14 139227
18 4 139421
4 9 139660
37 33 140553
37 10 140676
26 24 140690
24 22 140968
30 15 141009
1 13 141671
2 13 141727
43 7 142065
32 17 142355
28 35 142670
19 23 143602
9 8 143862
28 33 144152
10 28 144275
38 23 144612
34 25 144675
11 13 144894
38 30 145172
8 42 146377
4 1 146529
29 8 146706
7 4 146977
34 29 147039
24 17 147118
37 5 147487
6 7 147653
8 26 148002
31 43 148068
31 23 148169
40 23 148863
37 17 148904
43 2 148971
2 23 149072
8 40 149495
22 8 149854
8 31 149885
6 42 150057
8 5 150378
17 30 150703
8 2 150788
5 28 151086
31 4 152041
43 32 152689
23 36 152977
33 43 153480
10 43 153603
3 4 153919
12 13 154683
13 5 155480
8 34 157941
43 40 158061
38 43 158909
13 20 159388
37 41 159808
8 15 161020
34 24 161529
23 9 162416
34 37 162567
41 28 163407
14 4 163509
36 6 164176
26 23 164287
24 20 165219
38 24 165482
44 4 165713
24 41 166244
32 8 166574
4 5 166697
13 41 167801
27 23 168175
6 19 168266
4 21 168400
6 14 168414
6 40 168523
43 25 168540
20 8 168751
4 6 169726
13 37 170235
42 13 170416
9 43 171614
43 20 171652
26 13 172041
8 38 172378
21 6 173305
15 13 173831
43 34 175494
37 24 176066
4 27 176306
4 33 176892
37 8 176997
12 6 177413
1 6 177951
41 4 179018
24 28 179665
15 23 181176
29 13 181433
18 6 181837
4 42 181866
8 25 182009
6 10 182108
23 35 182168
37 43 182499
13 39 182778
32 23 182859
28 8 183197
13 17 183525
43 29 183615
33 23 183650
10 23 183773
6 16 183985
15 4 185048
6 3 185341
28 43 186098
4 26 188967
30 8 189823
43 17 190769
8 17 192586
4 29 194021
6 32 194058
34 23 194645
2 6 195360
38 4 196660
6 39 198900
4 30 208175
30 6 208851
5 6 209113
43 8 209311
4 28 210952
25 6 211196
23 30 211859
27 6 212209
6 20 213021
4 20 216066
6 26 220389
37 6 221781
43 23 225596
35 6 226202
29 6 226271
37 4 226913
13 24 226917
15 6 227464
28 6 227467
6 17 237158
8 23 239481
8 6 264145
24 6 267733
23 4 271038
Case #11: 56
17 4 15319
22 9 20556
18 5 32821
9 21 48487
15 9 50366
8 7 60789
15 12 86586
22 8 99653
5 12 114198
5 15 128344
12 16 139755
15 7 143846
6 3 151943
22 17 160873
19 4 163679
21 6 163923
8 18 165366
23 10 174240
16 9 175975
4 3 179591
17 13 182287
10 18 185772
6 5 193414
17 21 204474
14 22 204530
11 6 220583
9 14 222950
7 13 224046
2 16 229773
4 12 232968
12 11 236140
10 7 256108
22 11 260655
22 3 261457
20 15 265323
2 8 292816
14 10 300196
20 9 302475
16 10 316590
12 23 329996
14 17 337927
3 5 345357
11 5 350338
20 10 377585
16 13 378992
3 2 385178
2 20 417596
3 14 419581
13 2 456073
2 10 488135
4 1 522353
1 21 540047
1 18 543377
20 23 551825
22 1 609090
13 1 645615
Case #12: Impossible
Case #13: 98
12 22 12900
27 14 45756
26 27 84769
27 18 85664
3 29 88129
3 6 93884
2 13 109364
11 29 115033
14 9 115716
20 14 153420
9 27 161472
23 26 165065
23 18 165960
17 31 172143
6 22 174324
8 26 181653
6 29 182013
18 3 186119
8 2 188000
26 5 191318
5 18 192213
10 29 193525
2 5 197665
25 5 199375
28 13 203753
10 30 205565
21 18 205842
25 3 208580
3 19 215299
20 13 217424
11 30 232020
26 6 237975
3 5 240780
4 15 243633
27 23 249834
2 25 262056
28 2 264785
23 13 268082
6 8 268260
25 18 269298
5 30 269638
20 23 279472
22 24 288592
15 21 289212
30 27 300641
27 29 304085
13 21 307964
1 13 309590
1 17 312990
29 5 319826
10 18 319903
22 1 321118
4 26 325623
30 20 330279
4 2 331970
9 8 332745
14 17 333399
11 18 344043
23 7 345460
19 25 353600
11 28 365841
27 12 367649
22 27 380549
18 31 382030
21 4 386588
21 28 387340
9 10 389178
19 21 389842
19 20 392275
9 6 392704
25 21 395324
15 10 397844
1 25 407222
24 30 421308
21 11 427823
17 21 429969
5 11 434859
30 7 440239
13 7 440339
6 1 444548
11 22 445440
17 9 447553
9 22 456627
7 5 469575
24 20 470660
23 15 490119
11 9 499667
31 9 516713
21 7 542269
15 9 570862
20 16 576666
4 16 659440
30 16 678131
16 31 714952
10 16 783057
16 11 807197
16 24 818512
15 16 890181
Case #14: Impossible
Case #15: 189
14 39 220
42 23 1745
13 19 4381
37 24 28817
19 39 36023
13 14 40184
39 13 40404
25 18 44525
13 15 65284
44 11 68668
22 31 75463
28 26 79236
35 6 84747
14 20 87566
14 15 96706
30 36 103902
36 4 107664
31 23 119533
21 23 122859
1 10 130230
4 46 131922
47 1 135595
5 31 141454
11 1 141542
4 22 141867
22 33 143567
31 38 143745
24 30 145092
12 43 149668
9 21 151558
8 21 151935
25 20 154128
12 11 165126
29 15 166576
47 12 166818
29 33 167461
36 25 174589
10 25 178831
23 35 183033
35 42 184778
21 32 186875
44 26 190928
5 2 192635
22 20 193022
36 28 195914
15 27 196073
44 45 196513
31 20 200079
10 9 200386
11 7 200713
25 19 205891
3 10 207025
38 35 207245
13 28 208731
11 8 212075
20 9 212300
47 35 214165
45 38 214776
16 3 214928
21 18 215717
6 20 216123
40 37 217447
29 1 218847
21 25 219175
18 42 220041
32 23 220562
45 47 221599
45 15 224391
27 31 225803
9 23 227117
37 11 227247
1 20 228721
9 18 231083
30 25 231497
26 17 235695
16 43 236745
20 23 237092
14 4 237531
34 7 237580
12 18 238231
39 31 239324
28 14 240153
25 39 241914
44 20 243041
23 28 243079
22 19 244785
40 24 246264
36 39 246605
33 4 248092
12 5 249766
40 16 250428
31 19 251842
7 33 252319
12 7 253198
6 47 253480
30 15 253581
25 42 254607
45 46 258585
18 43 259508
13 16 262084
35 15 262923
7 23 263432
18 2 263572
9 19 264063
28 5 265000
42 7 265177
36 27 267063
7 30 270491
10 27 271305
4 37 272981
40 35 273144
24 22 274713
18 32 278883
15 33 279903
34 28 281880
9 38 282953
47 40 284024
12 37 287805
34 11 288587
43 19 290848
39 21 291191
15 32 291968
9 7 292131
8 7 292508
7 4 292823
39 46 294878
13 43 295229
29 36 295318
11 40 297230
14 44 298400
6 43 298776
21 29 300249
24 16 300899
32 20 301108
22 27 301266
37 18 303247
28 4 303578
34 36 304141
36 43 306879
34 18 307629
8 26 307956
30 29 311159
25 33 311855
13 5 315157
23 46 317859
21 40 317980
37 35 324937
43 44 325825
14 42 326403
32 7 327448
42 41 328013
47 30 330164
18 24 332064
1 26 335862
24 32 336423
40 12 337505
41 38 339145
24 6 341131
26 5 344236
39 5 346799
14 38 348870
46 29 351129
41 30 351897
34 42 353051
41 9 354967
47 26 357230
26 27 363810
34 5 373227
46 18 376180
37 17 385220
2 27 390612
7 24 391309
17 32 391459
4 34 393541
14 17 396612
43 4 397070
19 34 397587
41 34 408009
47 39 417688
8 46 418634
17 15 421712
34 32 428166
39 7 431764
46 28 432350
30 17 447791
27 7 452222
46 41 470108
17 46 488756
27 47 498213
Case #16: 50
41 32 255924
43 12 277396
50 3 312463
36 32 353277
2 41 390090
15 38 526317
38 14 561004
36 45 583050
20 11 583544
36 40 592411
18 2 597588
26 24 604776
27 25 606594
21 22 623955
16 9 663296
50 1 678003
29 1 680468
11 41 690689
8 30 701049
4 31 711375
5 40 711504
30 1 722536
33 1 722905
6 40 745620
33 48 746117
4 1 753079
38 45 778243
38 42 801965
49 25 812589
12 39 845082
38 6 854535
32 4 866570
43 10 871170
17 4 886993
35 2 890130
26 32 895608
42 7 896605
43 29 906361
22 12 906431
43 41 908018
7 31 926601
2 12 944842
37 2 954264
23 29 960381
10 49 960854
8 42 967686
18 49 967833
16 6 968368
43 47 973492
38 39 974733
Case #17: 170
24 35 5974
27 42 16256
26 20 23804
24 15 26446
1 26 36282
9 31 41688
27 36 46922
15 42 48478
5 6 48693
41 1 53673
35 25 53862
24 25 59836
5 15 59846
22 26 67713
32 29 68221
26 12 71470
8 19 72019
7 41 76384
19 43 76788
16 31 82536
44 24 86603
7 40 89494
27 40 91886
1 39 98721
13 46 102288
34 10 105956
39 28 106292
4 19 107044
33 38 110757
27 19 112081
8 39 113823
35 12 116503
7 46 116972
26 23 117672
1 27 118411
6 30 118603
4 7 120738
46 34 121834
40 16 122119
5 27 124580
34 4 125600
22 46 125692
39 34 126294
3 14 126445
8 38 127649
36 12 127713
42 19 128337
16 29 128905
12 7 130463
35 36 132128
35 11 132651
28 18 135050
11 40 136835
12 15 136975
22 27 137848
40 36 138808
9 4 139614
9 32 139631
5 8 139646
7 15 141508
20 10 146007
22 28 148626
15 41 149028
19 35 152511
6 46 155647
7 38 156023
15 34 157074
36 30 161286
41 31 161459
21 22 161771
7 35 161980
6 9 162658
35 17 163861
41 36 165443
33 32 165534
15 46 166800
38 36 167616
40 43 167787
16 22 168081
35 41 169500
39 9 169567
24 17 169835
15 23 172268
6 4 172719
28 17 172792
38 35 173388
35 29 174205
45 40 175043
32 1 175549
45 24 176833
27 11 176913
18 26 178068
38 24 179362
26 30 179812
40 38 180068
6 22 181653
5 41 182324
8 42 182324
9 12 182491
25 6 182873
13 32 183576
15 4 183872
22 11 185293
10 41 187202
10 5 196449
44 12 197132
41 45 197787
13 39 198158
44 32 198561
40 23 199420
19 41 199486
18 10 199702
27 10 201337
45 1 203372
16 3 203814
44 33 204364
6 38 205065
19 1 205071
6 2 205250
33 30 206079
30 21 208863
45 30 210106
